url,chemical_name,numericals
http://www.industrialchemistry.org/PDF/r12005.pdf,1-methyl-4-(4-methyl-3-penten-1-yl)-3-cyclohexenecarboxaldehyde,[119652-81-2]
http://www.industrialchemistry.org/PDF/r4663.pdf,dipentene,[138-86-3]
http://www.industrialchemistry.org/PDF/r2847.pdf,1-methyl-4-piperidone,"[1445-73-4],[215-895-5]"
http://www.industrialchemistry.org/PDF/r2771.pdf,1-methyl-5-mercaptotetrazole,[13183-79-4]
http://www.industrialchemistry.org/PDF/r1473.pdf,1-methylamino-1-methylthio-2-nitroethylene,[61832-41-5]
http://www.industrialchemistry.org/PDF/r2484.pdf,4-hydroxy-N-methylpiperidine,"[106-52-5],[203-406-8]"
http://www.industrialchemistry.org/PDF/r6251.pdf,1-hydroxy-2-naphthoic acid,"[86-48-6],[201-674-0]"
http://www.industrialchemistry.org/PDF/r17226.pdf,"1-naphthol-3,6,8-trisulfonic acid",[3316-02-7]
http://www.industrialchemistry.org/PDF/r11972.pdf,5-hydroxynaphthalene-1-sulfonic acid,[117-59-9]
http://www.industrialchemistry.org/PDF/r7509.pdf,8-hydroxynaphthalene-1-sulfonic acid,[117-22-6]
http://www.industrialchemistry.org/PDF/r2155.pdf,brodifacoum,[56073-10-0]
http://www.industrialchemistry.org/PDF/r1897.pdf,1-naphthylacetamide,"[86-86-2],[201-704-2]"
http://www.industrialchemistry.org/PDF/r1898.pdf,1-naphthylacetic acid,[86-87-3]
http://www.industrialchemistry.org/PDF/r1889.pdf,ethyl 1-naphthylacetate,[2122-70-5]
http://www.industrialchemistry.org/PDF/r3536.pdf,"1,7-Cleve's acid","[119-28-8],[204-311-4]"
http://www.industrialchemistry.org/PDF/r464.pdf,peri acid,[82-75-7]
http://www.industrialchemistry.org/PDF/r15104.pdf,"2,4,5-trichloronitrobenzene","[89-69-0],[201-931-7]"
http://www.industrialchemistry.org/PDF/r15543.pdf,"N,O-di-(2-hydroxyethyl)-2-amino-5-nitrophenol",[59820-43-8]
http://www.industrialchemistry.org/PDF/r1122.pdf,"3,4-dichloronitrobenzene","[99-54-7],[202-764-2]"
http://www.industrialchemistry.org/PDF/r15698.pdf,1-nitronaphthalene,"[86-57-7],[201-684-5]"
http://www.industrialchemistry.org/PDF/r3395.pdf,1-nitropropane,[108-03-2]
http://www.industrialchemistry.org/PDF/r11680.pdf,1-nitroso-2-naphthol,[131-91-9]
http://www.industrialchemistry.org/PDF/r905.pdf,n-octyl mercaptan,"[111-88-6],[203-918-1]"
http://www.industrialchemistry.org/PDF/r4872.pdf,n-octanol,[111-87-5]
http://www.industrialchemistry.org/PDF/r4533.pdf,1-octen-3-ol,[3391-86-4]
http://www.industrialchemistry.org/PDF/r4899.pdf,1-octene,"[111-66-0],[203-893-7]"
http://www.industrialchemistry.org/PDF/r11762.pdf,1-pentene,[109-67-1]
http://www.industrialchemistry.org/PDF/r5542.pdf,1-phenoxy-2-propanol,"[770-35-4],[212-222-7]"
http://www.industrialchemistry.org/PDF/r4759.pdf,dimethyl benzyl carbinol,[100-86-7]
http://www.industrialchemistry.org/PDF/r2867.pdf,3-methyl-1-phenyl-5-pyrazolone,[89-25-8]
http://www.industrialchemistry.org/PDF/r6271.pdf,1-phenyl-3-pyrazolidone,[92-43-3]
http://www.industrialchemistry.org/PDF/r10329.pdf,1-phenyl-5-mercaptotetrazole,[86-93-1]
http://www.industrialchemistry.org/PDF/r4757.pdf,1-phenylethanol,[589-18-4]
